epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.516,1.50566,1.50193,1.30123,0.66446,0.53463,0.56503,0.30259,1.57946,1.49274,1.42479,0.000665966,0.000665966,0.000665966
2,681.879,1.52043,1.38123,1.32887,0.70474,0.53543,0.58975,0.32136,1.50093,1.41936,1.38232,0.00128866,0.00128866,0.00128866
3,1004.07,1.50381,1.35348,1.32398,0.69855,0.57018,0.61279,0.34878,1.40331,1.39194,1.32696,0.00186735,0.00186735,0.00186735
4,1624.33,1.45037,1.2887,1.29974,0.74051,0.54667,0.62446,0.36238,1.40557,1.3671,1.31733,0.001802,0.001802,0.001802
5,2136.33,1.40322,1.24346,1.27826,0.74991,0.6061,0.66975,0.39672,1.3185,1.22625,1.25778,0.001736,0.001736,0.001736
6,2463.66,1.37929,1.19686,1.25867,0.76301,0.61639,0.6908,0.42171,1.26642,1.1245,1.23614,0.00167,0.00167,0.00167
7,2995.17,1.34657,1.16484,1.24098,0.78763,0.62797,0.70465,0.44079,1.22681,1.07485,1.20755,0.001604,0.001604,0.001604
8,3467.81,1.32501,1.13716,1.23022,0.76644,0.64933,0.70923,0.44082,1.22029,1.08617,1.20619,0.001538,0.001538,0.001538
9,3791.36,1.30163,1.11154,1.21688,0.78172,0.64318,0.71317,0.45228,1.19966,1.05901,1.19441,0.001472,0.001472,0.001472
10,4113.15,1.28751,1.09575,1.20919,0.80039,0.64557,0.72354,0.46673,1.17842,1.0302,1.17885,0.001406,0.001406,0.001406
11,4433.98,1.26827,1.07371,1.20013,0.79877,0.6626,0.73638,0.47685,1.14753,0.97376,1.15543,0.00134,0.00134,0.00134
12,4754.16,1.25441,1.0613,1.19476,0.80408,0.67678,0.74702,0.48566,1.14039,0.95518,1.14478,0.001274,0.001274,0.001274
13,5261.89,1.23706,1.03883,1.18502,0.8178,0.67222,0.75271,0.49775,1.1144,0.94228,1.14173,0.001208,0.001208,0.001208
14,5599.72,1.22576,1.02837,1.17955,0.82273,0.67978,0.75994,0.50397,1.10309,0.91333,1.13131,0.001142,0.001142,0.001142
15,5921.99,1.20194,1.0062,1.16832,0.83092,0.68328,0.76677,0.51377,1.0851,0.89304,1.11795,0.001076,0.001076,0.001076
16,6244.73,1.20229,0.99508,1.16476,0.82826,0.68869,0.77005,0.51697,1.076,0.88784,1.10745,0.00101,0.00101,0.00101
17,6566.52,1.19653,0.99213,1.16066,0.82672,0.69306,0.77193,0.52453,1.06352,0.87368,1.09978,0.000944,0.000944,0.000944
18,7028.64,1.17869,0.97138,1.15291,0.83468,0.70176,0.77692,0.53112,1.04368,0.85039,1.08884,0.000878,0.000878,0.000878
19,7348.86,1.16399,0.95646,1.14439,0.8378,0.70511,0.78408,0.53944,1.03161,0.83675,1.0838,0.000812,0.000812,0.000812
20,7667.75,1.15861,0.94943,1.1406,0.84146,0.70558,0.78632,0.54391,1.01968,0.82116,1.07402,0.000746,0.000746,0.000746
21,8013.32,1.13151,0.90449,1.13792,0.84101,0.7104,0.79118,0.5461,1.02225,0.82083,1.07701,0.00068,0.00068,0.00068
22,8379.88,1.11399,0.87904,1.12546,0.84466,0.71328,0.79668,0.55355,1.00779,0.80216,1.0664,0.000614,0.000614,0.000614
23,8693.39,1.10349,0.86541,1.11916,0.84336,0.71949,0.79843,0.5601,0.99352,0.78075,1.05883,0.000548,0.000548,0.000548
24,9006.63,1.09437,0.85077,1.11636,0.84834,0.72074,0.8043,0.56519,0.98446,0.77325,1.04937,0.000482,0.000482,0.000482
25,9321.19,1.07576,0.83683,1.10791,0.85222,0.72554,0.80923,0.57123,0.97128,0.7603,1.04288,0.000416,0.000416,0.000416
26,9634.11,1.06279,0.82269,1.10174,0.85364,0.72952,0.8129,0.5767,0.96356,0.7465,1.04016,0.00035,0.00035,0.00035
27,9954.81,1.04928,0.80907,1.09114,0.85764,0.73283,0.81676,0.58082,0.9563,0.73562,1.03275,0.000284,0.000284,0.000284
28,10308.9,1.03908,0.79436,1.08771,0.85807,0.73561,0.81764,0.58466,0.9451,0.72521,1.02506,0.000218,0.000218,0.000218
29,10618.4,1.02763,0.78116,1.08037,0.86017,0.73939,0.82112,0.58884,0.93909,0.71708,1.02127,0.000152,0.000152,0.000152
30,10931.5,1.0208,0.77226,1.07636,0.86171,0.73905,0.82225,0.59129,0.93311,0.70974,1.01851,8.6e-05,8.6e-05,8.6e-05
